129;129;OD;R;1;389;0015897;;20180202;1601;10;PENDIENTE;;;;
129;129;OR;R;1;389;0015897;;20180202;1601;10;PENDIENTE;;;;
129;129;OD;R;1;390;0745821;;20180202;1601;10;PENDIENTE;;;;
129;129;OR;R;1;390;0745821;;20180202;1601;10;PENDIENTE;;;;
129;129;OD;R;1;392;0747952;;20180202;1606;10;PENDIENTE;;;;
129;129;OR;R;1;392;0747952;;20180202;1606;10;PENDIENTE;;;;
129;129;OD;R;1;393;0747009;;20180202;1606;10;PENDIENTE;;;;
129;129;OR;R;1;393;0747009;;20180202;1606;10;PENDIENTE;;;;
129;129;OD;R;1;391;0745719;;20180202;1606;10;PENDIENTE;;;;
129;129;OR;R;1;391;0745719;;20180202;1606;10;PENDIENTE;;;;
129;129;OD;R;1;394;745590;;20180202;1611;10;PENDIENTE;;;;
129;129;OR;R;1;394;745590;;20180202;1611;10;PENDIENTE;;;;
129;129;OD;R;1;395;0745310;;20180202;1611;10;PENDIENTE;;;;
129;129;OR;R;1;395;0745310;;20180202;1611;10;PENDIENTE;;;;
129;129;OD;R;1;396;0012516;;20180202;1611;10;PENDIENTE;;;;
129;129;OR;R;1;396;0012516;;20180202;1611;10;PENDIENTE;;;;
129;129;OD;R;1;399;0745414;;20180202;1616;10;PENDIENTE;;;;
129;129;OD;R;1;397;0748681;;20180202;1616;10;PENDIENTE;;;;
129;129;OR;R;1;397;0748681;;20180202;1616;10;PENDIENTE;;;;
129;129;OD;R;1;398;747950;;20180202;1616;10;PENDIENTE;;;;
129;129;OR;R;1;398;747950;;20180202;1616;10;PENDIENTE;;;;
129;129;OR;R;1;399;0745414;;20180202;1616;10;PENDIENTE;;;;
129;129;OD;R;1;400;0749465;;20180202;1621;10;PENDIENTE;;;;
129;129;OR;R;1;400;0749465;;20180202;1621;10;PENDIENTE;;;;
129;129;OD;R;1;402;0748637;;20180202;1631;10;PENDIENTE;;;;
129;129;OR;R;1;402;0748637;;20180202;1631;10;PENDIENTE;;;;
129;129;OD;R;1;403;0745711;;20180202;1631;10;PENDIENTE;;;;
129;129;OR;R;1;403;0745711;;20180202;1631;10;PENDIENTE;;;;
129;129;OD;R;1;404;0745071;;20180202;1641;10;PENDIENTE;;;;
129;129;OR;R;1;404;0745071;;20180202;1641;10;PENDIENTE;;;;
129;129;OD;R;1;405;A013038;;20180202;1641;10;PENDIENTE;;;;
129;129;OR;R;1;405;A013038;;20180202;1641;10;PENDIENTE;;;;
129;129;OD;R;1;406;0486731;;20180202;1641;10;PENDIENTE;;;;
129;129;OR;R;1;406;0486731;;20180202;1641;10;PENDIENTE;;;;
129;129;OD;R;1;407;0039381;;20180202;1646;10;PENDIENTE;;;;
129;129;OR;R;1;407;0039381;;20180202;1646;10;PENDIENTE;;;;
129;129;OD;R;1;408;0632839;;20180202;1651;10;PENDIENTE;;;;
129;129;OR;R;1;408;0632839;;20180202;1651;10;PENDIENTE;;;;
129;129;OD;R;1;409;0747976;;20180202;1651;10;PENDIENTE;;;;
129;129;OR;R;1;409;0747976;;20180202;1651;10;PENDIENTE;;;;
129;129;OD;R;1;410;0170332;;20180202;1656;10;PENDIENTE;;;;
129;129;OR;R;1;410;0170332;;20180202;1656;10;PENDIENTE;;;;
